65.0 -160.0
65.0 -150.0
65.0 -140.0
65.0 -130.0
35.0 -120.0
45.0 -120.0
55.0 -120.0
65.0 -120.0
35.0 -110.0
45.0 -110.0
55.0 -110.0
65.0 -110.0
75.0 -110.0
25.0 -100.0
35.0 -100.0
45.0 -100.0
55.0 -100.0
65.0 -100.0
75.0 -100.0
15.0 -90.0
35.0 -90.0
45.0 -90.0
55.0 -90.0
65.0 -90.0
75.0 -90.0
-5.0 -80.0
35.0 -80.0
75.0 -80.0
-45.0 -70.0
-35.0 -70.0
-25.0 -70.0
-15.0 -70.0
-5.0 -70.0
5.0 -70.0
45.0 -70.0
55.0 -70.0
65.0 -70.0
-35.0 -60.0
-25.0 -60.0
-15.0 -60.0
-5.0 -60.0
5.0 -60.0
55.0 -60.0
-25.0 -50.0
-15.0 -50.0
-5.0 -50.0
65.0 -50.0
75.0 -50.0
-15.0 -40.0
-5.0 -40.0
75.0 -40.0
75.0 -30.0
65.0 -20.0
15.0 -10.0
25.0 -10.0
15.0 0.0
25.0 0.0
35.0 0.0
45.0 0.0
5.0 10.0
15.0 10.0
25.0 10.0
35.0 10.0
45.0 10.0
-25.0 20.0
-15.0 20.0
-5.0 20.0
5.0 20.0
15.0 20.0
25.0 20.0
45.0 20.0
65.0 20.0
-25.0 30.0
-15.0 30.0
-5.0 30.0
5.0 30.0
15.0 30.0
25.0 30.0
55.0 30.0
65.0 30.0
-15.0 40.0
5.0 40.0
15.0 40.0
25.0 40.0
35.0 40.0
45.0 40.0
55.0 40.0
-15.0 50.0
15.0 50.0
25.0 50.0
35.0 50.0
55.0 50.0
65.0 50.0
35.0 60.0
55.0 60.0
65.0 60.0
75.0 60.0
25.0 70.0
35.0 70.0
45.0 70.0
55.0 70.0
65.0 70.0
15.0 80.0
25.0 80.0
35.0 80.0
45.0 80.0
55.0 80.0
65.0 80.0
25.0 90.0
35.0 90.0
45.0 90.0
55.0 90.0
65.0 90.0
75.0 90.0
15.0 100.0
25.0 100.0
35.0 100.0
45.0 100.0
55.0 100.0
65.0 100.0
75.0 100.0
25.0 110.0
35.0 110.0
45.0 110.0
55.0 110.0
65.0 110.0
75.0 110.0
-25.0 120.0
-5.0 120.0
45.0 120.0
55.0 120.0
65.0 120.0
-25.0 130.0
-15.0 130.0
45.0 130.0
55.0 130.0
65.0 130.0
-35.0 140.0
-25.0 140.0
-5.0 140.0
65.0 140.0
75.0 140.0
-35.0 150.0
-25.0 150.0
65.0 150.0
75.0 150.0
55.0 160.0
65.0 160.0
-45.0 170.0
65.0 170.0
